timestamp,structure,positioning,regime,microstructure,interaction,setup_score,tier
2026-06-05 09:00,5,5.55556,8,8.68,8,6.74089,STRONG
2026-06-05 09:01,5,5.55556,8,8.68,8,6.74089,STRONG
2026-06-05 09:02,5,5.55556,8,8.68,8,6.74089,STRONG
2026-06-05 09:03,5,5.55556,8,8.68,8,6.74089,STRONG
2026-06-05 09:04,5,5.55556,8,8.68,8,6.74089,STRONG
2026-06-05 09:05,5,5.55556,8,8.68,8,6.74089,STRONG
2026-06-05 09:06,5,5.55556,8,8.68,8,6.74089,STRONG
2026-06-05 09:07,5,5.55556,8,8.68,8,6.74089,STRONG
2026-06-05 09:08,5,5.55556,8,8.68,8,6.74089,STRONG
2026-06-05 09:09,5,5.55556,8,8.68,8,6.74089,STRONG
2026-06-05 09:10,5,5.55556,8,8.68,8,6.74089,STRONG
2026-06-05 09:11,5,5.55556,8,8.68,8,6.74089,STRONG
2026-06-05 09:12,5,5.55556,8,8.68,8,6.74089,STRONG
2026-06-05 09:13,5,5.55556,8,8.68,8,6.74089,STRONG
2026-06-05 09:14,5,5.55556,8,8.68,8,6.74089,STRONG
2026-06-05 09:15,5,5.55556,8,8.68,8,6.74089,STRONG
2026-06-05 09:16,5,5.55556,8,8.68,8,6.74089,STRONG
2026-06-05 09:17,5,5.55556,8,8.68,8,6.74089,STRONG
2026-06-05 09:18,5,5.55556,8,8.68,8,6.74089,STRONG
2026-06-05 09:19,5,5.55556,8,8.68,8,6.74089,STRONG
2026-06-05 09:20,5,5.55556,8,8.68,8,6.74089,STRONG
2026-06-05 09:21,5,5.55556,8,8.68,8,6.74089,STRONG
2026-06-05 09:22,10,8.06452,8,8.68,10,9.01813,PREMIUM
2026-06-05 09:23,7,6.11111,8,8.68,10,7.77978,PREMIUM
2026-06-05 09:24,7,5.625,8,8.68,10,7.65825,PREMIUM
2026-06-05 09:25,7,5,8,8.68,10,7.502,PREMIUM
2026-06-05 09:26,7,4.16667,8,8.68,10,7.29367,STRONG
2026-06-05 09:27,7,8.21429,8,8.68,10,8.30557,PREMIUM
2026-06-05 09:28,7,4.16667,8,8.68,8,6.89367,STRONG
2026-06-05 09:29,10,4.16667,8,8.68,8,7.64367,PREMIUM
2026-06-05 09:30,10,4.16667,8,8.68,8,7.64367,PREMIUM
2026-06-05 09:31,10,4.16667,8,8.68,8,7.64367,PREMIUM
2026-06-05 09:32,10,4.16667,8,8.68,8,7.64367,PREMIUM
2026-06-05 09:33,10,4.16667,8,8.68,8,7.64367,PREMIUM
2026-06-05 09:34,10,4.16667,8,8.68,8,7.64367,PREMIUM
2026-06-05 09:35,7,5.71429,8,8.68,8,7.28057,STRONG
2026-06-05 09:36,7,5.71429,8,8.68,8,7.28057,STRONG
2026-06-05 09:37,7,5.71429,8,8.68,8,7.28057,STRONG
2026-06-05 09:38,7,5.71429,8,8.68,8,7.28057,STRONG
2026-06-05 09:39,7,5.71429,8,8.68,8,7.28057,STRONG
2026-06-05 09:40,7,5.71429,8,8.68,8,7.28057,STRONG
2026-06-05 09:41,7,5.71429,8,8.68,8,7.28057,STRONG
2026-06-05 09:42,7,5.71429,8,8.68,8,7.28057,STRONG
2026-06-05 09:43,7,5.71429,8,8.68,8,7.28057,STRONG
2026-06-05 09:44,7,5.71429,8,8.68,8,7.28057,STRONG
2026-06-05 09:45,7,5.71429,8,8.68,8,7.28057,STRONG
2026-06-05 09:46,5,0.4,8,8.68,10,5.852,MINIMUM
2026-06-05 09:47,5,5,8,8.68,8,6.602,STRONG
2026-06-05 09:48,5,5,8,8.68,8,6.602,STRONG
2026-06-05 09:49,5,5,8,8.68,8,6.602,STRONG
2026-06-05 09:50,5,5,8,8.68,5,6.002,MINIMUM
2026-06-05 09:51,5,5,8,8.68,8,6.602,STRONG
2026-06-05 09:52,5,5,8,8.68,8,6.602,STRONG
2026-06-05 09:53,5,5,8,8.68,8,6.602,STRONG
2026-06-05 09:54,5,5,8,8.68,8,6.602,STRONG
2026-06-05 09:55,5,5,8,8.68,8,6.602,STRONG
2026-06-05 09:56,5,5,8,8.68,8,6.602,STRONG
2026-06-05 09:57,5,5,8,8.68,8,6.602,STRONG
2026-06-05 09:58,5,5,8,8.68,8,6.602,STRONG
2026-06-05 09:59,5,5,8,8.68,8,6.602,STRONG
2026-06-05 09:00,10,7.5,8,8.68,10,8.877,PREMIUM
2026-06-05 09:01,7,5.71429,8,8.68,10,7.68057,PREMIUM
2026-06-05 09:02,7,1.33333,8,8.68,10,6.58533,STRONG
2026-06-05 09:03,7,6.66667,8,8.68,10,7.91867,PREMIUM
2026-06-05 09:04,7,5,8,8.68,8,7.102,STRONG
2026-06-05 09:05,7,5,8,8.68,8,7.102,STRONG
2026-06-05 09:06,7,5,8,8.68,8,7.102,STRONG
2026-06-05 09:07,7,5,8,8.68,8,7.102,STRONG
2026-06-05 09:08,7,5,8,8.68,8,7.102,STRONG
2026-06-05 09:09,7,5,8,8.68,8,7.102,STRONG
2026-06-05 09:10,7,5,8,8.68,8,7.102,STRONG
2026-06-05 09:11,7,5,8,8.68,8,7.102,STRONG
2026-06-05 09:12,7,5,0,8.68,8,5.902,MINIMUM
2026-06-05 09:13,7,5,8,8.68,8,7.102,STRONG
2026-06-05 09:14,7,5,8,8.68,8,7.102,STRONG
2026-06-05 09:15,7,5,8,8.68,8,7.102,STRONG
2026-06-05 09:16,7,5,8,8.68,8,7.102,STRONG
2026-06-05 09:17,7,5,8,8.68,8,7.102,STRONG
2026-06-05 09:18,7,5,8,8.68,8,7.102,STRONG
2026-06-05 09:19,7,5,8,8.68,8,7.102,STRONG
2026-06-05 09:20,7,5,8,8.68,8,7.102,STRONG
2026-06-05 09:21,7,5,8,8.68,8,7.102,STRONG
2026-06-05 09:22,7,5,8,8.68,8,7.102,STRONG
2026-06-05 09:23,5,5,8,8.68,8,6.602,STRONG
2026-06-05 09:24,5,5,8,8.68,8,6.602,STRONG
2026-06-05 09:25,5,5,8,8.68,8,6.602,STRONG
2026-06-05 09:26,5,5,8,8.68,8,6.602,STRONG
2026-06-05 09:27,5,5,8,8.68,8,6.602,STRONG
2026-06-05 09:28,5,5,8,8.68,8,6.602,STRONG
2026-06-05 09:29,5,5,8,8.68,8,6.602,STRONG
